Sensor,Start,End,Message
01 W-2,8/18/2025 8:45,8/29/2025 14:55,Sensor moved for installation to gallery 7 facing the window.
06 W,8/4/2025 8:45,8/11/2025 9:45,Sensor moved for installation to gallery 7 facing the window.
11 E,8/25/2025 8:45,9/2/2025 15:00,Sensor moved for installation to gallery 15 facing the window.
11 N,8/25/2025 8:45,9/2/2025 15:00,Sensor moved for installation to gallery 15 facing the window.
16 N,9/8/2025 9:15,9/23/2025 12:00,Sensor moved for installation to gallery 9 facing the window.
16 S,9/8/2025 9:15,9/23/2025 12:00,Sensor moved for installation to gallery 9 facing the window.
40 W,9/8/2025 9:15,9/15/2025 16:00,Sensor moved for installation to gallery 36 facing the window.
21 E,8/18/2025 9:00,8/29/2025 15:00,Sensor moved for installation to gallery 18 facing the window.
31 S,8/25/2025 8:45,8/29/2025 15:00,Sensor moved for installation to gallery K facing the window.
32 N,9/2/2025 9:00,9/9/2025 15:00,Sensor moved for installation to gallery K facing the window.
32 W,9/2/2025 9:00,9/9/2025 15:00,Sensor moved for installation to gallery K facing the window.
33 E,9/2/2025 9:00,9/9/2025 15:00,Sensor moved for installation to gallery K facing the window.
32 N,9/19/2025 10:45,9/9/2025 16:30,Sensor moved for photoshoot to gallery 45 
32 W,9/19/2025 10:45,9/9/2025 16:30,Sensor moved for photoshoot to gallery 45 
33 E,9/19/2025 10:45,9/9/2025 16:30,Sensor moved for photoshoot to gallery 45 
57 N,9/22/2025 9:15,9/23/2025 10:00,Sensor moved for installation to gallery 57 facing the window.
59 N,9/22/2025 9:15,9/23/2025 10:00,Sensor moved for installation to gallery 57 facing the window.
48 S,9/29/2025 9:50,9/30/2025 10:05,Sensor moved for installation to gallery 27 facing the window
60 N,9/29/2025 9:50,9/30/2025 10:05,Sensor moved for installation to gallery 27 facing the window
